nome,tipo,grao,num_colunas,tem_tempo,extensao_temporal,linhas_recorte,slides_consumidores,status,marcacao,procedencia,observacao
v_aquisicao_mensal_canonico,postgres_view,mes x parceiro_canonico,48,sim,2025-01 a 2026-09,31,"C4; P1; P4 via views editoriais",ativo,observado,"public.v_aquisicao_mensal_canonico; migration 20260914103000",Recorte mar-ago; 31 linhas; setembro aberto existe fora do recorte
REPORT_AUDITORIA_V1,engine_sheet_published,item de auditoria do artefato,3,nao,NA,45,nenhum,tecnico,observado,"report-sync/index.ts:721-795; report_publications 54649269",Aba auxiliar da geracao viva
SLIDE_READINESS,engine_sheet_published,instancia de slide,15,nao,NA,62,nenhum,tecnico,observado,"report-live-engine.ts:1938-1941; report_publications 54649269",Inclui cinco instancias omitidas
VIEW_ACTION_OUTCOMES,engine_sheet_published,outcome por acao,10,sim,janela por outcome,0,C7,ativo_vazio,observado,"report-live-engine.ts:1507-1510; report_publications 54649269",Somente cabecalho no run vivo
VIEW_ACTION_QUEUE,engine_sheet_published,acao candidata deduplicada no run,14,sim,run,1,"C8; M7",ativo,observado,"report-live-engine.ts:1501-1506; report_publications 54649269",Persistencia canonica em report_action_candidates
VIEW_AGGREGATION_RULES,engine_sheet_published,regra de agregacao,2,nao,NA,4,A3,ativo,observado,"report-live-engine.ts:1907-1916; report_publications 54649269",Contrato documental
VIEW_B2C_DAILY,engine_sheet_published,dia x tipo B2C,6,sim,diario; sem agosto no snapshot,0,B2,ativo_vazio,observado,"report-live-engine.ts:1784-1798; report_publications 54649269",Fonte congelada termina em 2026-07-20
VIEW_B2C_PARALLEL_FUNNELS,engine_sheet_published,origem de funil,6,nao,recorte do run,2,B1,ativo,observado,"report-live-engine.ts:1770-1783; report_publications 54649269",CRM e B2C nao sao somados
VIEW_CAC_DRIVERS,engine_sheet_published,parceiro x segmento x canal,8,nao,recorte do run,26,C6,ativo,observado,"report-live-engine.ts:1481-1499; report_publications 54649269",Foto de agosto
VIEW_CAMPAIGN_ALIASES,engine_sheet_published,alias de campanha,5,nao,NA,34,A6,ativo,observado,"report-live-engine.ts:1884-1895; report_publications 54649269",Identidade governada
VIEW_COLLECTION_LOGS,engine_sheet_published,execucao de coleta,12,sim,2026-07-22 a 2026-09-11 no snapshot,107,A5,ativo,observado,"report-live-engine.ts:1872-1883; report_publications 54649269",Linha por collection run
VIEW_CONFIDENCE_RULES,engine_sheet_published,regra de confianca,3,nao,NA,4,A7,ativo,observado,"report-live-engine.ts:1923-1937; report_publications 54649269",Contrato documental
VIEW_COVERAGE_COMPARABILITY,engine_sheet_published,fonte,7,sim,cutoff do run,3,"C2; B3",ativo,observado,"report-live-engine.ts:1312-1344; report_publications 54649269",Cutoff integrado ausente no run
VIEW_EXECUTIVE_READING,engine_sheet_published,item executivo,2,nao,recorte do run,1,C1,ativo,observado,"report-live-engine.ts:1378-1390; report_publications 54649269",Texto deterministico resumido
VIEW_EXPERIMENTS,engine_sheet_published,experimento,8,sim,janela do experimento,0,K-EXP omitido,ativo_vazio,observado,"report-live-engine.ts:1834-1848; report_publications 54649269",Somente cabecalho
VIEW_FIELD_COVERAGE,engine_sheet_published,fonte x campo,8,nao,snapshot do run,247,A4,ativo,observado,"report-live-engine.ts:959-1050; report_publications 54649269",73 consumidos no run vivo; 1 exclusao privacidade; 173 sem consumidor
VIEW_GROWTH_MATRIX,engine_sheet_published,BU x parceiro x segmento,11,nao,recorte do run,14,A1,ativo,observado,"report-live-engine.ts:1896-1906; report_publications 54649269",Foto de agosto
VIEW_INSURANCE_SUMMARY,engine_sheet_published,metrica de seguros,4,nao,recorte ate 2026-08-23,5,K-SEG,ativo,observado,"report-live-engine.ts:1799-1813; report_publications 54649269",Cutoff oito dias antes do fim do mes
VIEW_MEDIA_CAMPAIGNS,engine_sheet_published,campanha canonica,12,nao,recorte do run,11,M3,ativo,observado,"report-live-engine.ts:1670-1718; report_publications 54649269",Foto de agosto
VIEW_MEDIA_CREATIVES,engine_sheet_published,anuncio/criativo,13,nao,recorte do run,67,M5,ativo,observado,"report-live-engine.ts:1719-1750; report_publications 54649269",Foto de agosto
VIEW_MEDIA_FUNNEL,engine_sheet_published,campanha x evento,10,nao,recorte do run,10,M4,ativo,observado,"report-live-engine.ts:1650-1669; report_publications 54649269",Foto de agosto
VIEW_MEDIA_MIX,engine_sheet_published,canal x objetivo,12,nao,recorte do run,5,M2,ativo,observado,"report-live-engine.ts:1631-1649; report_publications 54649269",Foto de agosto
VIEW_MEDIA_PACING,engine_sheet_published,objetivo x canal,9,nao,recorte do run,5,M1,ativo,observado,"report-live-engine.ts:1612-1630; report_publications 54649269",Agregado mensal apesar do nome pacing
VIEW_MEDIA_QUALITY,engine_sheet_published,canal x objetivo,9,nao,recorte do run,5,M6,ativo,observado,"report-live-engine.ts:1751-1769; report_publications 54649269",Foto de agosto
VIEW_METRIC_DICTIONARY,engine_sheet_published,metrica,5,nao,NA,5,A2,ativo,observado,"report-live-engine.ts:1907-1922; report_publications 54649269",Contrato documental
VIEW_PACING_ISODAYS,engine_sheet_published,dia corrido do mes,8,sim,2026-08-01 a 2026-08-31,31,C4,ativo,observado,"report-live-engine.ts:1391-1451; report_publications 54649269",Serie diaria atual x equivalente
VIEW_PARTNER_RESOLUTION,engine_sheet_published,parceiro_bruto x parceiro_canonico x motivo,8,nao,snapshot do run,7,nenhum,qualidade,observado,"report-live-engine.ts:1459-1480; report_publications 54649269",Trilha de procedencia; o gate de equivalencia roda separadamente no build
VIEW_PARTNER_ROUTER,engine_sheet_published,parceiro canonico,17,nao,recorte do run,5,C5,ativo,observado,"report-live-engine.ts:1452-1477; report_publications 54649269",N/A sai do ranking e vira flag
VIEW_QUALITY_INCIDENTS,engine_sheet_published,incidente de qualidade,7,nao,snapshot do run,8,K-QLT,ativo,observado,"report-live-engine.ts:1868-1883; report_publications 54649269",Qualidade conhecida do run
VIEW_REGISTRY,engine_sheet_published,instancia de slide,10,nao,NA,62,renderer,tecnico,observado,"report-live-engine.ts:1942-1949; report_publications 54649269",E um registro de slides; nao um catalogo de views
VIEW_RUN_MANIFEST,engine_sheet_published,chave de manifesto,2,sim,cutoffs do run,11,C0,ativo,observado,"report-live-engine.ts:1295-1311; report_publications 54649269",Metadados do snapshot
VIEW_SCORECARD_INTEGRATED,engine_sheet_published,metrica integrada,6,nao,recorte integrado,0,C3 fallback,ativo_vazio,observado,"report-live-engine.ts:1345-1377; report_publications 54649269",Sem leitura integrada no run
VIEW_SCORECARD_NATIVE,engine_sheet_published,metrica por janela nativa,6,nao,recorte do run,5,C3,ativo,observado,"report-live-engine.ts:1345-1377; report_publications 54649269",Fallback efetivamente usado
VIEW_TEMPLATE_COVERAGE,engine_sheet_published,escopo de mapeamento,5,nao,snapshot do run,2,K-TPL,ativo,observado,"report-live-engine.ts:1814-1833; report_publications 54649269",Activities e slots
VIEW_VISA_OPTIN,engine_sheet_published,campanha com opt-in,5,nao,recorte do run,102,K-VISA,legado_encerrado,observado,"report-live-engine.ts:1849-1867; report_publications 54649269",Campanha encerrada; retirar em mudanca futura; nao e requisito
VP_BEM_BARATO_ACTION,engine_sheet_published,acao prioritaria do parceiro,6,sim,run,0,P7 Bem Barato,ativo_vazio,observado,"report-live-engine.ts:1602-1610; report_publications 54649269",Somente cabecalho
VP_BEM_BARATO_CAMPAIGNS,engine_sheet_published,safra x jornada x activity x segmento x canal x template,18,nao,agosto 2026,33,P5 Bem Barato,ativo,observado,"report-live-engine.ts:1566-1592; report_publications 54649269",Sem coluna temporal
VP_BEM_BARATO_CHANNELS,engine_sheet_published,canal,8,nao,agosto 2026,7,P3 Bem Barato,ativo,observado,"report-live-engine.ts:1533-1558; report_publications 54649269",Publicado com 8 colunas; o codigo 2a amplia para 10; sem segmento no grao
VP_BEM_BARATO_FUNNEL,engine_sheet_published,etapa do funil,4,nao,agosto 2026,4,P4 Bem Barato,ativo,observado,"report-live-engine.ts:1559-1565; report_publications 54649269",Sem coluna temporal
VP_BEM_BARATO_PRESSURE,engine_sheet_published,segmento,6,nao,agosto 2026,4,P6 omitido,proxy_omitido,observado,"report-live-engine.ts:1593-1601; report_publications 54649269",Nao deduplica pessoas
VP_BEM_BARATO_RESULT,engine_sheet_published,metrica do parceiro,6,nao,agosto x julho equivalente,4,P1 Bem Barato,ativo,observado,"report-live-engine.ts:1519-1532; report_publications 54649269",Tem comparativo mas nao coluna de tempo
