baseline_page,slide_instance_id,slide_code,section,title,business_question,decision_supported,source_view,has_material_data,current_problem,proposed_disposition,target_slide_or_archetype,coverage_preserved,rationale,evidence
1,c0,C0,core,Capa & contrato do snapshot,Que recorte é este?,"Calibrar a leitura do deck (período, perfil, cutoffs, run)",VIEW_RUN_MANIFEST,sim,Manifesto exibido como tabela campo|valor truncada em 22 caracteres (run_id cortado); sem manchete do período,preserve,c0 (cover_contract),sim,"Único slide que declara período, perfil, cutoffs e run; obrigatório pelo CT-1/CT-8",PDF candidata 2a p.1; inventario_slides.csv linha 1 (corte 22); report-live-engine.ts:1589 VIEW_RUN_MANIFEST
2,c1,C1,core,Leitura executiva do período,O que importa agora?,Foco macro do período,VIEW_EXECUTIVE_READING,sim,Corpo é dump JSON (run_manifest|core_kpis como objeto numa célula); KPI âncora sem régua,preserve,c1 (executive_takeaway),sim,"Pergunta executiva central; dados-base existem (cartões 2.849, investimento mídia R$13.158). Problema é de forma e de contrato da view, não de cobertura",PDF candidata 2a p.2; report-live-engine.ts:1666 VIEW_EXECUTIVE_READING (objetos aninhados)
3,c2,C2,core,"Integridade, cobertura e comparabilidade","Onde as fontes concordam, divergem ou não são comparáveis?",Em que recorte confiar,VIEW_COVERAGE_COMPARABILITY,parcial,Cutoff integrado nulo e gap_days nulo; B2C sem cutoff; comparação CRM×B2C tipo=CRM não certificada,preserve,c2 (quality_gate),sim,"MASTER §0 decisão 3: mínimo obrigatório, sempre presente. Absorve B3 (mesma view)",PDF candidata 2a p.3; report-live-engine.ts:1603; MASTER_DECK_SPEC §0.3 e C2
4,c3,C3,core,Scorecard integrado de aquisição,Onde estamos?,Seguir ou intervir,VIEW_SCORECARD_NATIVE,sim,"Integrada indisponível → fallback VIEW_SCORECARD_NATIVE; números crus sem formatação (0.2441…, 45391.037…)",preserve,c3 (scorecard),sim,Único scorecard cross-source (mídia+CRM) com período equivalente; os deltas existem na view nativa,PDF candidata 2a p.4; report-live-engine.ts:1437-1438 (fallback C3) e :1636; contrato C3 = VIEW_SCORECARD_INTEGRATED
5,c4,C4,core,Ritmo vs período equivalente e meta,Bato a meta no ritmo atual?,Acelerar ou segurar budget,VIEW_PACING_ISODAYS,sim,Renderer 2.0 publicou preview textual da série diária; sem meta certificada,preserve,c4 (time_series_pacing),sim,"31 dias com realizado e período equivalente; único pacing CRM. Meta ausente é limite declarado, não motivo de corte",PDF candidata 2a p.5; inventario_slides.csv linha 5; report-live-engine.ts:1740 VIEW_PACING_ISODAYS
6,c5,C5,core,Router de parceiros,Onde investir atenção?,Rotear para capítulos de parceiro (cheio/compacto),VIEW_PARTNER_ROUTER,sim,Gráfico vinculado sem régua; modo cheio/compacto só na narrativa,preserve,c5 (router_ranking),sim,Roteia os capítulos de parceiro (4 cheios + Dia compacto); sem ele a profundidade dos P* fica sem justificativa,PDF candidata 2a p.6; report-live-engine.ts:830-879 buildPartnerModes
7,c6,C6,core,"Drivers, dispersão de CAC e oportunidades",Onde há eficiência com escala e onde há desperdício?,Mix canal/parceiro,VIEW_CAC_DRIVERS,sim,"26 pontos sem rótulo, eixos sem nome; sem linha cac_max (não está na view)",preserve,c6 (driver_scatter),sim,"Única visão de dispersão de CAC parceiro×segmento×canal; vault retira só do perfil executivo, não do deep dive",PDF candidata 2a p.7; report-live-engine.ts:1771-1791 VIEW_CAC_DRIVERS; Report-Live-Arquitetura-Editorial 'Residuais'
8,c7,C7,core,Resultado das ações anteriores,Nossas decisões funcionaram?,Manter ou abandonar linha de ação,VIEW_ACTION_OUTCOMES,não,VIEW_ACTION_OUTCOMES com zero linhas de corpo (nenhuma janela de outcome encerrada),preserve,c7 (analytical_table),sim,"Slide obrigatório do core (CT-10). Ausência é legítima (1ª execução), não falha. Release 7C troca a fonte para VIEW_GROWTH_LEARNING_RETROSPECTIVE com memória curada rotulada",PDF candidata 2a p.8; RELEASE_7C_EDITORIAL_SPEC §5-6; migration 20260924170000
9,c8,C8,core,Fila consolidada de decisão,O que fazer agora?,Priorizar e atribuir ações (Agir/Acompanhar/Investigar),VIEW_ACTION_QUEUE,sim,1 candidata (TEMPLATE_COVERAGE_LT_80) exibida como tabela truncada,preserve,c8 (action_queue),sim,É a decisão do deck; passa a absorver P7×5 e M7 (mesma entidade CT-6),PDF candidata 2a p.9; report-live-engine.ts:1793 VIEW_ACTION_QUEUE
10,p1_serasa,P1,partner,Resultado & contribuição — Serasa,Como o parceiro performou e contribuiu?,Priorizar parceiro,VP_SERASA_RESULT,sim,Renderer 2.0 publicou tabela crua; régua (valor·delta·faixa·veredito) só existe na candidata 2a; Serasa em regime pós-02/2026 (lead pré-qualificado),preserve,p1_serasa (scorecard),sim,Capítulo cheio de Serasa; cartões e CAC com faixa histórica de 6 meses,PDF candidata 2a p.10; report-live-engine.ts:1835 VP_*_RESULT
