numero,secao,codigo,arquetipo,view_origem,titulo,num_elementos,num_graficos,caracteres_corpo,caracteres_leitura,badge_confianca,texto_truncou_ou_transbordou,celulas_fonte_maiores_22,status,marcacao,procedencia
1,core,C0,cover_contract,VIEW_RUN_MANIFEST,Capa & contrato do snapshot,7,0,184,199,Baixa,sim_corte_deterministico_22,2,ativo,observado,"report_publications 54649269; report_build_jobs checkpoint; index.ts:1394-1406"
2,core,C1,executive_takeaway,VIEW_EXECUTIVE_READING,Leitura executiva do período,7,0,74,214,Baixa,sim_corte_deterministico_22,2,ativo,observado,"report_publications 54649269; report_build_jobs checkpoint; index.ts:1394-1406"
3,core,C2,quality_gate,VIEW_COVERAGE_COMPARABILITY,"Integridade, cobertura e comparabilidade",7,0,172,216,Baixa,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
4,core,C3,scorecard,VIEW_SCORECARD_NATIVE,Scorecard integrado de aquisição,7,0,513,182,Baixa,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
5,core,C4,time_series_pacing,VIEW_PACING_ISODAYS,Ritmo vs período equivalente e meta,7,0,401,228,Baixa,nao_verificavel_overflow,0,ativo,nao_verificavel,"Serie pretendida virou preview textual no renderer 2.0-light"
6,core,C5,router_ranking,VIEW_PARTNER_ROUTER,Router de parceiros,7,1,0,241,Baixa,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
7,core,C6,driver_scatter,VIEW_CAC_DRIVERS,"Drivers, dispersão de CAC e oportunidades",7,1,0,169,Baixa,nao_verificavel_rotulos_grafico,0,ativo,nao_verificavel,"inspect_recovery request 1893; grafico vinculado"
8,core,C7,analytical_table,VIEW_ACTION_OUTCOMES,Resultado das ações anteriores,7,0,92,149,Indisponivel,nao_verificavel_overflow,0,sem_dado,nao_verificavel,"VIEW_ACTION_OUTCOMES tem zero linhas de corpo"
9,core,C8,action_queue,VIEW_ACTION_QUEUE,Fila consolidada de decisão,7,0,121,188,Indisponivel,sim_corte_deterministico_22,2,ativo,observado,"report_build_jobs checkpoint; index.ts:1394-1406"
10,partner,P1,scorecard,VP_SERASA_RESULT,Resultado & contribuição — Serasa,7,0,352,127,Alta,nao_verificavel_overflow,0,ativo,nao_verificavel,"Google API inspecionada nao retorna fit/overflow"
