Data;Consultas Neurotech;Aprovados Neurotech;Pedidos Confirmados;Env. da Foto Biometria;Env. Documento;Assinatura do Cartão;Total Emitidos
01/01/2026;1.518;615;54;2;3;1;21
02/01/2026;2.740;1.149;114;;4;2;60
03/01/2026;2.290;904;75;;5;6;34
04/01/2026;2.074;842;65;;3;5;34
05/01/2026;3.260;1.266;120;;8;13;57
06/01/2026;2.970;1.173;99;;1;4;57
07/01/2026;3.518;1.365;124;;12;4;56
08/01/2026;3.117;1.252;137;1;9;6;90
09/01/2026;2.921;1.124;113;;7;3;65
10/01/2026;1.980;748;91;;8;1;52
11/01/2026;1.720;669;82;;5;2;46
12/01/2026;3.611;1.479;128;2;8;4;71
13/01/2026;3.557;1.427;166;;16;6;91
14/01/2026;3.505;1.421;157;;7;7;86
15/01/2026;3.332;1.326;160;;7;5;90
16/01/2026;2.675;968;117;1;7;3;67
17/01/2026;1.722;603;96;1;2;1;58
18/01/2026;1.496;475;67;1;6;5;31
19/01/2026;2.787;926;103;1;6;6;60
20/01/2026;4.216;1.375;181;;11;9;96
21/01/2026;4.295;1.492;226;1;12;7;131
22/01/2026;2.987;1.178;162;;9;9;88
23/01/2026;2.510;926;144;1;5;5;89
24/01/2026;1.843;706;108;;10;3;67
25/01/2026;1.645;675;97;2;7;4;56
26/01/2026;2.837;1.020;112;1;7;7;56
27/01/2026;2.621;981;124;;5;6;75
28/01/2026;2.797;1.046;125;;10;2;66
29/01/2026;2.873;1.110;140;1;7;5;68
30/01/2026;2.910;1.118;126;;11;14;60
31/01/2026;1.871;710;107;1;5;7;59
01/02/2026;1.593;577;63;;7;8;28
02/02/2026;2.296;945;102;1;3;5;63
03/02/2026;2.526;1.048;97;;4;6;57
04/02/2026;2.451;961;163;;6;2;116
05/02/2026;2.380;893;131;;12;5;79
06/02/2026;2.131;813;111;2;11;4;65
07/02/2026;1.438;523;93;;4;2;55
08/02/2026;929;348;78;;2;5;50
09/02/2026;5.489;2.332;188;;8;5;107
10/02/2026;8.879;3.841;352;2;21;18;204
11/02/2026;9.241;4.182;414;1;20;17;214
12/02/2026;7.024;3.118;307;2;27;11;169
13/02/2026;5.308;2.427;220;3;15;8;115
14/02/2026;3.820;1.728;167;;10;6;93
15/02/2026;3.717;1.650;178;;17;7;93
16/02/2026;3.969;1.764;186;1;14;7;102
17/02/2026;3.989;1.831;229;2;15;13;118
18/02/2026;5.708;2.557;251;1;16;12;147
19/02/2026;7.246;3.219;299;3;20;10;172
20/02/2026;5.785;2.653;282;1;22;8;161
21/02/2026;3.567;1.604;211;1;11;9;122
22/02/2026;3.235;1.381;186;;17;6;105
23/02/2026;5.870;2.773;217;2;16;6;115
24/02/2026;6.114;2.810;239;;9;8;132
25/02/2026;6.845;3.100;293;;23;13;153
26/02/2026;5.987;2.816;279;;17;13;167
27/02/2026;4.912;2.494;211;;7;5;122
28/02/2026;3.310;2.406;253;2;18;12;144
01/03/2026;3.023;1.596;220;;10;10;136
02/03/2026;4.653;2.110;196;;8;7;120
03/03/2026;4.757;2.191;225;2;15;7;129
04/03/2026;6.042;2.614;291;;20;7;164
05/03/2026;5.455;2.467;294;1;23;18;170
06/03/2026;5.781;2.640;295;1;11;10;172
07/03/2026;3.661;1.573;272;3;13;4;190
08/03/2026;2.571;1.582;221;1;17;7;136
09/03/2026;4.611;2.136;235;3;14;3;140
10/03/2026;4.791;2.076;252;2;17;11;146
11/03/2026;5.126;2.265;263;2;15;12;155
12/03/2026;5.715;2.575;323;1;29;14;187
13/03/2026;4.807;2.061;290;1;10;11;176
14/03/2026;3.412;1.448;238;1;11;12;140
15/03/2026;3.403;1.498;219;;9;8;138
16/03/2026;4.443;1.997;298;1;12;13;186
17/03/2026;4.886;2.103;303;;16;12;169
18/03/2026;5.627;2.416;403;4;22;19;220
19/03/2026;4.664;2.087;364;2;29;15;211
20/03/2026;3.692;1.531;274;;15;12;168
21/03/2026;3.079;1.304;258;3;16;16;140
22/03/2026;2.428;1.006;231;;14;10;137
23/03/2026;4.306;1.783;327;;26;17;180
24/03/2026;4.127;1.945;301;3;9;10;167
25/03/2026;4.779;2.143;310;1;19;7;191
26/03/2026;4.340;1.932;304;3;21;9;173
27/03/2026;4.112;1.818;301;3;20;15;181
28/03/2026;2.573;1.057;246;1;13;7;154
29/03/2026;2.620;1.106;191;2;9;8;112
30/03/2026;3.533;1.488;227;1;10;12;137
31/03/2026;3.994;1.838;364;1;17;13;241
01/04/2026;3.548;1.525;313;4;13;15;175
02/04/2026;3.254;1.414;240;;14;9;148
03/04/2026;2.230;934;167;;16;10;99
04/04/2026;1.909;772;163;1;12;8;98
05/04/2026;2.037;864;166;3;10;9;85
06/04/2026;4.212;1.838;340;2;14;10;144
07/04/2026;3.811;1.671;228;1;17;43;85
08/04/2026;6.304;3.033;332;;24;18;192
09/04/2026;3.839;1.796;307;2;19;18;177
10/04/2026;3.280;1.359;217;1;10;9;138
11/04/2026;2.134;885;182;1;17;8;102
12/04/2026;2.150;834;187;1;6;13;128
13/04/2026;3.157;1.200;210;3;7;6;123
14/04/2026;3.587;1.490;240;2;11;13;134
15/04/2026;3.650;1.429;280;2;18;9;174
16/04/2026;3.240;1.338;222;1;14;7;121
17/04/2026;2.721;1.064;221;2;10;7;137
18/04/2026;2.374;859;193;2;13;11;113
19/04/2026;2.053;760;159;;15;6;91
20/04/2026;2.862;1.168;216;1;9;7;134
21/04/2026;2.667;1.063;222;1;15;12;131
22/04/2026;4.064;1.768;482;;16;10;148
23/04/2026;3.877;1.711;258;;12;13;165
24/04/2026;3.849;1.707;231;;10;12;121
25/04/2026;2.998;1.345;232;1;14;12;140
26/04/2026;2.765;1.214;191;;13;12;117
